[23:00:05][flags:A|nowtime:230005|cacheTime:3594]
[23:00:33][flags:A|nowtime:230033|cacheTime:3566]
[23:02:51][flags:A|nowtime:230251|cacheTime:3428]
[23:07:13][flags:A|nowtime:230713|cacheTime:3166]
[23:07:13][flags:A|nowtime:230713|cacheTime:3166]
[23:08:06][flags:A|nowtime:230806|cacheTime:3113]
[23:09:08][flags:A|nowtime:230908|cacheTime:3051]
[23:09:08][flags:A|nowtime:230908|cacheTime:3051]
[23:09:25][flags:A|nowtime:230925|cacheTime:3034]
[23:09:26][flags:A|nowtime:230926|cacheTime:3033]
[23:09:26][flags:A|nowtime:230926|cacheTime:3033]
[23:09:32][flags:A|nowtime:230932|cacheTime:3027]
[23:09:32][flags:A|nowtime:230932|cacheTime:3027]
[23:09:47][flags:A|nowtime:230947|cacheTime:3012]
[23:09:58][flags:A|nowtime:230958|cacheTime:3001]
[23:09:58][flags:A|nowtime:230958|cacheTime:3001]
[23:10:19][flags:A|nowtime:231019|cacheTime:2980]
[23:10:21][flags:A|nowtime:231021|cacheTime:2978]
[23:10:33][flags:A|nowtime:231033|cacheTime:2966]
[23:10:33][flags:A|nowtime:231033|cacheTime:2966]
[23:10:37][flags:A|nowtime:231037|cacheTime:2962]
[23:10:41][flags:A|nowtime:231041|cacheTime:2958]
[23:10:42][flags:A|nowtime:231042|cacheTime:2957]
[23:10:43][flags:A|nowtime:231043|cacheTime:2956]
[23:10:45][flags:A|nowtime:231045|cacheTime:2954]
[23:10:45][flags:A|nowtime:231045|cacheTime:2954]
[23:10:46][flags:A|nowtime:231046|cacheTime:2953]
[23:10:49][flags:A|nowtime:231049|cacheTime:2950]
[23:10:49][flags:A|nowtime:231049|cacheTime:2950]
[23:11:38][flags:A|nowtime:231138|cacheTime:2901]
[23:12:08][flags:A|nowtime:231208|cacheTime:2871]
[23:12:20][flags:A|nowtime:231220|cacheTime:2859]
[23:12:20][flags:A|nowtime:231220|cacheTime:2859]
[23:14:16][flags:A|nowtime:231416|cacheTime:2743]
[23:15:16][flags:A|nowtime:231516|cacheTime:2683]
[23:16:08][flags:A|nowtime:231608|cacheTime:2631]
[23:16:28][flags:A|nowtime:231628|cacheTime:2611]
[23:19:20][flags:A|nowtime:231920|cacheTime:2439]
[23:19:20][flags:A|nowtime:231920|cacheTime:2439]
[23:19:26][flags:A|nowtime:231926|cacheTime:2433]
[23:19:44][flags:A|nowtime:231944|cacheTime:2415]
[23:19:47][flags:A|nowtime:231947|cacheTime:2412]
[23:19:52][flags:A|nowtime:231952|cacheTime:2407]
[23:19:58][flags:A|nowtime:231958|cacheTime:2401]
[23:19:59][flags:A|nowtime:231959|cacheTime:2400]
[23:20:03][flags:A|nowtime:232003|cacheTime:2396]
[23:20:04][flags:A|nowtime:232004|cacheTime:2395]
[23:21:02][flags:A|nowtime:232102|cacheTime:2337]
[23:21:02][flags:A|nowtime:232102|cacheTime:2337]
[23:22:07][flags:A|nowtime:232207|cacheTime:2272]
[23:24:16][flags:A|nowtime:232416|cacheTime:2143]
[23:25:11][flags:A|nowtime:232511|cacheTime:2088]
[23:28:41][flags:A|nowtime:232841|cacheTime:1878]
[23:28:42][flags:A|nowtime:232842|cacheTime:1877]
[23:29:02][flags:A|nowtime:232902|cacheTime:1857]
[23:29:02][flags:A|nowtime:232902|cacheTime:1857]
[23:29:29][flags:A|nowtime:232929|cacheTime:1830]
[23:29:29][flags:A|nowtime:232929|cacheTime:1830]
[23:29:35][flags:A|nowtime:232935|cacheTime:1824]
[23:30:13][flags:A|nowtime:233013|cacheTime:1786]
[23:30:13][flags:A|nowtime:233013|cacheTime:1786]
[23:30:27][flags:A|nowtime:233027|cacheTime:1772]
[23:30:27][flags:A|nowtime:233027|cacheTime:1772]
[23:36:07][flags:A|nowtime:233607|cacheTime:1432]
[23:36:22][flags:A|nowtime:233622|cacheTime:1417]
[23:37:50][flags:A|nowtime:233750|cacheTime:1329]
[23:40:33][flags:A|nowtime:234033|cacheTime:1166]
[23:41:49][flags:A|nowtime:234149|cacheTime:1090]
[23:43:14][flags:A|nowtime:234314|cacheTime:1005]
[23:43:39][flags:A|nowtime:234339|cacheTime:980]
[23:44:32][flags:A|nowtime:234432|cacheTime:927]
[23:44:58][flags:A|nowtime:234458|cacheTime:901]
[23:44:58][flags:A|nowtime:234458|cacheTime:901]
[23:45:38][flags:A|nowtime:234538|cacheTime:861]
[23:47:53][flags:A|nowtime:234753|cacheTime:726]
[23:47:53][flags:A|nowtime:234753|cacheTime:726]
[23:51:00][flags:A|nowtime:235100|cacheTime:539]
[23:52:05][flags:A|nowtime:235205|cacheTime:474]
[23:52:06][flags:A|nowtime:235206|cacheTime:473]
[23:54:58][flags:A|nowtime:235458|cacheTime:301]
[23:55:25][flags:A|nowtime:235525|cacheTime:274]
[23:55:32][flags:A|nowtime:235532|cacheTime:267]
[23:56:56][flags:A|nowtime:235656|cacheTime:183]
[23:57:10][flags:A|nowtime:235710|cacheTime:169]
[23:57:10][flags:A|nowtime:235710|cacheTime:169]
[23:59:52][flags:A|nowtime:235952|cacheTime:7]
